caso_id,llamante_descripcion,llamante_genero,llamante_vinculo_ninios_presentes,violencia_tipo,victima_edad,victima_rango_etario,victima_genero,victima_cantidad,agresor_cantidad,agresor_genero,agresor_relacion_victima,llamado_derivacion,llamado_fecha,llamado_hora,llamado_region
359835,Víctima,Femenino,Madre,Física y psicológica,40,40 a 49 años,Femenino,1.0,1.0,Masculino,Pareja,No había móviles y/o Equipos para realizar la intervención,2024-01-01,01:22,Metropolitana
457147,Familiar,Femenino,Otro familiar,Física y psicológica,18,18 a 29 años,Femenino,1.0,2.0,Femenino,Otro/a no conviviente,Llamante solicitó información y/o orientación,2024-01-01,03:09,Metropolitana
457152,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,4.0,1.0,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-01,05:24,Metropolitana
457153,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,2.0,1.0,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-01,05:40,Metropolitana
457154,Víctima,NS/NC,Madre,Psicológica,Sin dato,Sin dato,NS/NC,2.0,1.0,NS/NC,Ex pareja,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-01,11:52,Metropolitana
449221,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0.0,0.0,NS/NC,NS/NC,Otras,2024-01-01,11:58,Metropolitana
15369,Víctima,NS/NC,No hay niñas/os,Psicológica,59,50 a 59 años,NS/NC,1.0,1.0,NS/NC,Ex pareja,Llamante solicitó información y/o orientación,2024-01-01,12:00,Metropolitana
457155,Víctima,Masculino,Padre,Física y psicológica,31,30 a 39 años,Masculino,1.0,1.0,Femenino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-01,13:44,Metropolitana
457156,Víctima,Femenino,Hermano/a,Psicológica,35,30 a 39 años,Femenino,1.0,1.0,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-01,14:07,Metropolitana
457159,Comisaría,Masculino,Madre,Física y psicológica,29,18 a 29 años,Femenino,3.0,1.0,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-01,19:18,Metropolitana
