Date,Home,Away,Score,Competition,Win_Draw_Loss
2024-12-15,Racing Club,River Plate,1-0,Argentine Primera Division,L
2024-12-08,River Plate,Rosario Central,4-0,Argentine Primera Division,W
2024-12-05,River Plate,San Lorenzo,1-1,Argentine Primera Division,D
2024-11-30,Estudiantes de La Plata,River Plate,1-2,Argentine Primera Division,W
2024-11-22,Independiente Rivadavia,River Plate,2-1,Argentine Primera Division,L
2024-11-10,River Plate,Barracas Central,3-0,Argentine Primera Division,W
2024-11-07,Instituto (Cordoba),River Plate,2-3,Argentine Primera Division,W
2024-11-02,River Plate,Banfield,3-1,Argentine Primera Division,W
2024-10-30,River Plate,Atlético-MG,0-0,CONMEBOL Libertadores,D
2024-10-26,Defensa y Justicia,River Plate,0-0,Argentine Primera Division,D
2024-10-23,Atlético-MG,River Plate,3-0,CONMEBOL Libertadores,L
2024-10-19,River Plate,Vélez Sarsfield,1-1,Argentine Primera Division,D
2024-10-07,Platense,River Plate,0-0,Argentine Primera Division,D
2024-09-29,River Plate,Talleres (Cordoba),0-1,Argentine Primera Division,L
2024-09-25,River Plate,Colo Colo,1-0,CONMEBOL Libertadores,W
2024-09-21,Boca Juniors,River Plate,0-1,Argentine Primera Division,W
2024-09-18,Colo Colo,River Plate,1-1,CONMEBOL Libertadores,D
2024-09-14,River Plate,Atlético Tucumán,4-1,Argentine Primera Division,W
2024-09-01,Independiente,River Plate,0-0,Argentine Primera Division,D
2024-08-26,River Plate,Newell's Old Boys,0-0,Argentine Primera Division,D
2024-08-22,River Plate,Talleres (Cordoba),2-1,CONMEBOL Libertadores,W
2024-08-17,Gimnasia La Plata,River Plate,1-1,Argentine Primera Division,D
2024-08-15,Talleres (Cordoba),River Plate,0-1,CONMEBOL Libertadores,W
2024-08-11,River Plate,Huracán,1-1,Argentine Primera Division,D
2024-08-04,Unión (Santa Fe),River Plate,0-0,Argentine Primera Division,D
2024-07-28,River Plate,Sarmiento (Junín),1-0,Argentine Primera Division,W
2024-07-25,Godoy Cruz Antonio Tomba,River Plate,2-1,Argentine Primera Division,L
2024-07-21,River Plate,Lanús,2-2,Argentine Primera Division,D
2024-07-13,River Plate,Olimpia,3-1,Friendly,W
2024-07-09,River Plate,Millonarios,1-1,Friendly,D
2024-06-13,Deportivo Riestra,River Plate,2-0,Argentine Primera Division,L
2024-06-03,River Plate,Tigre,3-1,Argentine Primera Division,W
2024-05-31,River Plate,Deportivo Táchira,2-0,CONMEBOL Libertadores,W
2024-05-25,Argentinos Juniors,River Plate,1-0,Argentine Primera Division,L
2024-05-22,Temperley,River Plate,1-1,Copa Argentina,L
2024-05-18,River Plate,Belgrano (Córdoba),3-0,Argentine Primera Division,W
2024-05-15,River Plate,Libertad,2-0,CONMEBOL Libertadores,W
2024-05-12,River Plate,Central Córdoba (Santiago del Estero),3-0,Argentine Primera Division,W
2024-05-08,Nacional,River Plate,2-2,CONMEBOL Libertadores,D
2024-04-25,Libertad,River Plate,1-2,CONMEBOL Libertadores,W
2024-04-21,River Plate,Boca Juniors,2-3,Argentine League Cup,L
2024-04-16,Instituto (Córdoba),River Plate,1-3,Argentine League Cup,W
2024-04-12,River Plate,Nacional,2-0,CONMEBOL Libertadores,W
2024-04-08,River Plate,Rosario Central,2-1,Argentine League Cup,W
2024-04-03,Deportivo Táchira,River Plate,0-2,CONMEBOL Libertadores,W
2024-03-30,Huracán,River Plate,1-0,Argentine League Cup,L
2024-03-23,Independiente Rivadavia,River Plate,4-0,Friendly,L
2024-03-17,River Plate,Gimnasia La Plata,3-1,Argentine League Cup,W
2024-03-09,Independiente,River Plate,1-1,Argentine League Cup,D
2024-03-07,River Plate,Independiente Rivadavia,2-0,Argentine League Cup,W
2024-03-03,Talleres (Córdoba),River Plate,2-2,Argentine League Cup,W
2024-02-25,River Plate,Boca Juniors,1-1,Argentine League Cup,D
2024-02-18,River Plate,Banfield,1-1,Argentine League Cup,D
2024-02-15,Atlético Tucumán,River Plate,0-0,Argentine,D League Cup
2024-02-11,Deportivo Riestra,River Plate,0-3,Argentine League Cup,W
2024-02-08,River Plate,Excursionistas,3-0,Copa Argentina,W
2024-02-04,River Plate,Vélez Sarsfield,5-0,Argentine League Cup,W
2024-02-01,Barracas Central,River Plate,0-2,Argentine League Cup,W
2024-01-28,River Plate,Argentinos Juniors,1-1,Argentine League Cup,D
2024-01-20,River Plate,Pachuca,1-0,Friendly,W
2024-01-18,Monterrey,River Plate,1-1,Friendly,D
